stem,tags,h,w,n_gt,rect_n,square_n,delta,matched,rect_only,square_only
00000045,小图;宽图;密集;小目标;无效Depth,360,640,9,11,13,-2,10,1,3
00000057,小图;宽图;小目标;无效Depth,360,640,6,9,10,-1,9,0,1
00000063,小图;宽图;小目标;无效Depth,360,640,6,9,11,-2,8,1,3
00000095,小图;宽图;小目标;无效Depth,360,640,6,11,21,-10,10,1,11
00000106,小图;宽图;小目标;无效Depth,360,640,7,8,19,-11,8,0,11
00000123,小图;宽图;小目标;无效Depth,360,640,7,12,15,-3,12,0,3
00000171,小图;宽图;小目标;无效Depth,360,640,3,3,5,-2,3,0,2
00000180,小图;宽图;小目标;无效Depth,360,640,3,4,3,1,3,1,0
00000234,小图;宽图;稀疏;小目标;无效Depth,360,640,2,3,2,1,2,1,0
00000257,小图;宽图;稀疏;无效Depth,360,640,1,3,8,-5,3,0,5
00000271,小图;宽图;稀疏;无效Depth,360,640,2,3,9,-6,3,0,6
00000273,小图;宽图;稀疏;无效Depth,360,640,2,5,8,-3,5,0,3
000002_080_00000048,大图;宽图;稀疏,1080,1920,2,2,8,-6,2,0,6
000002_083_00000169,大图;宽图;小目标,1080,1920,5,6,8,-2,5,1,3
00000333,小图;宽图;小目标;无效Depth,360,640,3,3,6,-3,3,0,3
00000339,小图;宽图;小目标;无效Depth,360,640,3,4,10,-6,3,1,7
00000346,小图;宽图;稀疏;无效Depth,360,640,1,4,10,-6,4,0,6
00000364,小图;宽图;稀疏;无效Depth,360,640,1,4,6,-2,3,1,3
000003_030_00000082,大图;宽图,1080,1920,3,2,4,-2,2,0,2
000003_080_00000409,大图;宽图;密集,1080,1920,8,24,38,-14,20,4,18
000003_081_00000171,大图;宽图;密集,1080,1920,12,16,25,-9,16,0,9
00000446,小图;宽图;稀疏;小目标;无效Depth,360,640,1,2,1,1,1,1,0
00000447,小图;宽图;稀疏;小目标;无效Depth,360,640,1,1,1,0,1,0,0
000004_011_00000001,大图;宽图;稀疏;小目标,1080,1920,2,4,5,-1,3,1,2
00000506,小图;宽图;稀疏;小目标;无效Depth,360,640,2,2,3,-1,2,0,1
000005_027_00000493,大图;宽图;密集;小目标,1080,1920,9,32,34,-2,27,5,7
000006_011_00000307,大图;宽图;密集;小目标,1080,1920,8,14,21,-7,10,4,11
000006_011_00000409,大图;宽图;密集;小目标,1080,1920,11,11,12,-1,11,0,1
