class_id,class,images,instances,precision,recall,AP50,AP75,AP50-95
0,person,219,1045,0.827,0.699,0.784,0.510,0.490
1,boat,14,28,0.662,0.698,0.667,0.416,0.430
2,animal,184,731,0.886,0.726,0.837,0.595,0.552
3,seat,51,107,0.878,0.738,0.811,0.757,0.688
4,sign,83,150,0.822,0.580,0.674,0.443,0.430
5,bicycle,43,106,0.753,0.519,0.624,0.491,0.424
6,car,69,288,0.807,0.771,0.808,0.578,0.530
7,ball,17,19,0.915,0.566,0.678,0.430,0.427
8,light,85,244,0.759,0.713,0.700,0.576,0.510
9,garbage_can,46,57,0.954,0.702,0.815,0.564,0.559
10,uav,23,30,0.904,0.939,0.951,0.615,0.555
11,tricycle,1,2,0.905,1.000,0.995,0.995,0.798
