class_id,class,AP50,AP75,AP50_95,precision,recall
0,person,0.7839,0.4988,0.4873,0.8404,0.6904
1,boat,0.7132,0.4903,0.484,0.7544,0.6786
2,animal,0.8449,0.5812,0.5607,0.9012,0.7483
3,seat,0.8077,0.7398,0.6668,0.8765,0.7299
4,sign,0.674,0.4031,0.4138,0.8008,0.5897
5,bicycle,0.6465,0.4543,0.4301,0.8189,0.5283
6,car,0.8167,0.5915,0.5487,0.8256,0.7986
7,ball,0.7091,0.2749,0.3995,0.9511,0.5263
8,light,0.6974,0.562,0.5127,0.7709,0.7377
9,garbage_can,0.823,0.5477,0.5303,0.8877,0.6934
10,uav,0.9448,0.4838,0.5287,0.9078,0.9333
11,tricycle,0.995,0.995,0.7482,0.7832,1.0
